0,1,2,3,4
Corie Blount,1320000,2000,2001,Phoenix Suns
Courtney Alexander,1319000,2000,2001,Washington Wizards
Michael Dickerson,1310000,2000,2001,Vancouver Grizzlies
Peja Stojakovic,1310000,2000,2001,Sacramento Kings
William Avery,1286000,2000,2001,Minnesota Timberwolves
Mateen Cleaves,1253000,2000,2001,Detroit Pistons
Matt Harpring,1244000,2000,2001,Cleveland Cavaliers
Zan Tabak,1210000,2000,2001,Indiana Pacers
Danny Ferry,1200000,2000,2001,San Antonio Spurs
Anthony Johnson,1200000,2000,2001,Cleveland Cavaliers
LaPhonso Ellis,1200000,2000,2001,Minnesota Timberwolves
Eldridge Recasner,1200000,2000,2001,Charlotte Hornets
Danny Manning,1200000,2000,2001,Utah Jazz
Anthony Carter,1200000,2000,2001,Miami Heat
Hersey Hawkins,1200000,2000,2001,Charlotte Hornets
Jason Collier,1190000,2000,2001,Houston Rockets
Metta World Peace,1160000,2000,2001,Chicago Bulls
Hedo Turkoglu,1131000,2000,2001,Sacramento Kings
Tom Hammonds,1130000,2000,2001,Minnesota Timberwolves
Rasho Nesterovic,1123000,2000,2001,Minnesota Timberwolves
Cal Bowdler,1102000,2000,2001,Atlanta Hawks
Greg Buckner,1100000,2000,2001,Dallas Mavericks
Desmond Mason,1074000,2000,2001,Seattle SuperSonics
James Posey,1047000,2000,2001,Denver Nuggets
Quentin Richardson,1020000,2000,2001,Los Angeles Clippers
Pat Garrity,1019000,2000,2001,Orlando Magic
Quincy Lewis,1000000,2000,2001,Utah Jazz
Ruben Patterson,990000,2000,2001,Seattle SuperSonics
Roshown McLeod,978000,2000,2001,Philadelphia 76ers
Jamaal Magloire,975000,2000,2001,Charlotte Hornets
Dion Glover,960000,2000,2001,Atlanta Hawks
Ricky Davis,939000,2000,2001,Miami Heat
Jeff Foster,922000,2000,2001,Indiana Pacers
Brian Skinner,901000,2000,2001,Los Angeles Clippers
Morris Peterson,898000,2000,2001,Toronto Raptors
Kenny Thomas,885000,2000,2001,Houston Rockets
Fred Hoiberg,880000,2000,2001,Chicago Bulls
Tyronn Lue,865000,2000,2001,Los Angeles Lakers
Devean George,849000,2000,2001,Los Angeles Lakers
Felipe Lopez,831000,2000,2001,Washington Wizards
DeShawn Stevenson,828000,2000,2001,Utah Jazz
John Crotty,800000,2000,2001,Utah Jazz
Don Maclean,798000,2000,2001,Miami Heat
Al Harrington,797000,2000,2001,Indiana Pacers
Dalibor Bagaric,795000,2000,2001,Chicago Bulls
Tim James,783000,2000,2001,Charlotte Hornets
Jake Tsakalidis,763000,2000,2001,Phoenix Suns
Vonteego Cummings,757000,2000,2001,Golden State Warriors
Hubert Davis,752000,2000,2001,Washington Wizards
Corey Benjamin,744000,2000,2001,Chicago Bulls
Nazr Mohammed,739000,2000,2001,Philadelphia 76ers
Jumaine Jones,735000,2000,2001,Philadelphia 76ers
Bruce Bowen,733000,2000,2001,Miami Heat
Scott Padgett,730000,2000,2001,Utah Jazz
Damon Jones,714000,2000,2001,Vancouver Grizzlies
